"nomeMaquina";"nomeComponente";"nomeMetrica";"unidadeDeMedida";"dataColeta";"valorLeitura"
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:54:23";6.71
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:54:21";6.69
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:54:19";6.7
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:54:17";6.75
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:54:15";6.76
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:54:13";6.76
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:54:12";6.71
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:54:10";6.74
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:54:08";6.76
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:54:06";6.77
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:54:04";6.76
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:54:02";6.69
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:54:00";6.72
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:59";6.46
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:57";6.46
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:55";6.47
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:53";6.46
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:51";6.46
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:49";6.48
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:47";6.48
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:46";6.46
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:44";6.47
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:42";6.45
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:40";6.47
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:39";6.46
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:37";6.4
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:35";6.42
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:53:33";6.42
