"nomeMaquina";"nomeComponente";"nomeMetrica";"unidadeDeMedida";"dataColeta";"valorLeitura"
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:31";11.9
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:30";22.3
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:28";8.9
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:27";10.5
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:25";12.2
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:24";12.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:23";8.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:21";12.2
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:20";8.1
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:18";8.1
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:17";7.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:15";8.8
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:14";20.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:13";15.9
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:11";18.8
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:10";8.3
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:08";13.1
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:07";14.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:16:05";6.2
